,cruise,lat,long,marker,color
413,TGT66,9,-110,diamond1,yellow
414,TGT66,9,-110,diamond1,yellow
415,TGT66,9,-110,diamond1,yellow
416,TGT66,9,-110,diamond1,yellow
417,TGT66,9,-110,diamond1,yellow
418,TGT66,9,-110,diamond1,yellow
419,TGT66,9,-110,diamond1,yellow
420,TGT66,9,-110,diamond1,yellow
421,TGT66,9,-110,diamond1,yellow
422,TGT66,9,-110,diamond1,yellow
423,TGT66,9,-110,diamond1,yellow
424,TGT66,9,-110,diamond1,yellow
425,TGT66,9,-110,diamond1,yellow
426,TGT66,9,-110,diamond1,yellow
427,TGT66,9,-110,diamond1,yellow
428,TGT66,9,-110,diamond1,yellow
429,TGT66,10,-110,diamond1,yellow
430,TGT66,10,-110,diamond1,yellow
431,TGT66,10,-110,diamond1,yellow
432,TGT66,10,-110,diamond1,yellow
433,TGT66,10,-110,diamond1,yellow
434,TGT66,10,-110,diamond1,yellow
435,TGT66,10,-110,diamond1,yellow
436,TGT66,10,-110,diamond1,yellow
437,TGT66,10,-110,diamond1,yellow
438,TGT66,10,-110,diamond1,yellow
439,TGT66,10,-110,diamond1,yellow
440,TGT66,10,-110,diamond1,yellow
441,TGT66,10,-110,diamond1,yellow
442,TGT66,10,-110,diamond1,yellow
443,TGT66,10,-110,diamond1,yellow
444,TGT66,10,-110,diamond1,yellow
445,TGT66,10,-110,diamond1,yellow
446,TGT66,10,-110,diamond1,yellow
447,TGT66,10,-110,diamond1,yellow
448,TGT66,10,-110,diamond1,yellow
449,TGT66,10,-110,diamond1,yellow
450,TGT66,10,-110,diamond1,yellow
451,TGT66,10,-110,diamond1,yellow
452,TGT66,10,-110,diamond1,yellow
453,TGT66,10,-110,diamond1,yellow
454,TGT66,10,-110,diamond1,yellow
455,TGT66,10,-110,diamond1,yellow
456,TGT66,10,-110,diamond1,yellow
457,TGT66,10,-110,diamond1,yellow
458,TGT66,10,-110,diamond1,yellow
459,TGT66,10,-110,diamond1,yellow
460,TGT66,11.006,-110,diamond1,yellow
461,TGT66,11.006,-110,diamond1,yellow
462,TGT66,11.006,-110,diamond1,yellow
463,TGT66,11.006,-110,diamond1,yellow
464,TGT66,11.006,-110,diamond1,yellow
465,TGT66,11.006,-110,diamond1,yellow
466,TGT66,11.006,-110,diamond1,yellow
467,TGT66,11.006,-110,diamond1,yellow
468,TGT66,11.006,-110,diamond1,yellow
469,TGT66,11.006,-110,diamond1,yellow
470,TGT66,11.006,-110,diamond1,yellow
471,TGT66,11.006,-110,diamond1,yellow
472,TGT66,11.006,-110,diamond1,yellow
473,TGT66,11.006,-110,diamond1,yellow
474,TGT66,11.006,-110,diamond1,yellow
475,TGT66,11.006,-110,diamond1,yellow
476,TGT66,11.006,-110,diamond1,yellow
477,TGT66,11.006,-110,diamond1,yellow
478,TGT66,11.006,-110,diamond1,yellow
479,TGT66,11.006,-110,diamond1,yellow
480,TGT66,11.006,-110,diamond1,yellow
481,TGT66,11.006,-110,diamond1,yellow
482,TGT66,11.006,-110,diamond1,yellow
483,TGT66,12.005,-110,diamond1,yellow
484,TGT66,12.005,-110,diamond1,yellow
485,TGT66,12.005,-110,diamond1,yellow
486,TGT66,12.005,-110,diamond1,yellow
487,TGT66,12.005,-110,diamond1,yellow
488,TGT66,12.005,-110,diamond1,yellow
489,TGT66,12.005,-110,diamond1,yellow
490,TGT66,12.005,-110,diamond1,yellow
491,TGT66,12.005,-110,diamond1,yellow
492,TGT66,12.005,-110,diamond1,yellow
493,TGT66,12.005,-110,diamond1,yellow
494,TGT66,12.005,-110,diamond1,yellow
495,TGT66,12.005,-110,diamond1,yellow
496,TGT66,12.005,-110,diamond1,yellow
497,TGT66,12.005,-110,diamond1,yellow
498,TGT66,12.005,-110,diamond1,yellow
499,TGT66,12.005,-110,diamond1,yellow
500,TGT66,12.005,-110,diamond1,yellow
501,TGT66,12.005,-110,diamond1,yellow
502,TGT66,12.005,-110,diamond1,yellow
503,TGT66,12.005,-110,diamond1,yellow
504,TGT66,12.005,-110,diamond1,yellow
505,TGT66,12.005,-110,diamond1,yellow
506,TGT66,12.005,-110,diamond1,yellow
507,TGT66,12.005,-110,diamond1,yellow
508,TGT66,12.005,-110,diamond1,yellow
509,TGT66,12.005,-110,diamond1,yellow
510,TGT66,12.005,-110,diamond1,yellow
511,TGT66,12.005,-110,diamond1,yellow
512,TGT66,12.95,-110,diamond1,yellow
513,TGT66,12.95,-110,diamond1,yellow
514,TGT66,12.95,-110,diamond1,yellow
515,TGT66,12.95,-110,diamond1,yellow
516,TGT66,12.95,-110,diamond1,yellow
517,TGT66,12.95,-110,diamond1,yellow
518,TGT66,12.95,-110,diamond1,yellow
519,TGT66,12.95,-110,diamond1,yellow
520,TGT66,12.95,-110,diamond1,yellow
521,TGT66,12.95,-110,diamond1,yellow
522,TGT66,12.95,-110,diamond1,yellow
