Season,Genus_Species,Total_length_.mm.,d13C,d15N
Wet,Labiobarbus siamensis,77,-31.7231,6.5158
Wet,Labiobarbus siamensis,78,-32.4916,6.058
Wet,Labiobarbus siamensis,78,-31.4783,7.0073
Wet,Labiobarbus siamensis,82,-32.1845,5.3158
Wet,Labiobarbus siamensis,100,-33.6438,7.5954
Wet,Labiobarbus siamensis,110,-33.9865,6.8381
Wet,Labiobarbus siamensis,110,-32.1576,7.2759
Wet,Labiobarbus siamensis,127,-26.9357,5.6357
Wet,Labiobarbus siamensis,129,-29.2763,6.578
Wet,Labiobarbus siamensis,130,-26.7513,5.6912
Wet,Labiobarbus siamensis,134,-27.1635,5.8513
Wet,Labiobarbus siamensis,,-28.9515,7.0833
Dry,Notopterus notopterus,172,-43.3122,2.6309
Dry,Notopterus notopterus,174,-27.2185,10.8469
Dry,Notopterus notopterus,183,-30.195,10.4572
Dry,Notopterus notopterus,183,-28.4508,9.0207
Dry,Notopterus notopterus,184,-29.7974,10.5812
Dry,Notopterus notopterus,189,-31.7843,10.1165
Dry,Notopterus notopterus,196,-29.5535,7.6337
Dry,Notopterus notopterus,202,-28.986,10.6837
Dry,Notopterus notopterus,203,-28.7694,11.1702
Dry,Notopterus notopterus,208,-30.2451,9.3689
Dry,Notopterus notopterus,208,-26.9649,9.0682
Dry,Notopterus notopterus,210,-28.584,8.1877
Dry,Notopterus notopterus,231,-34.3705,10.2934
Dry,Notopterus notopterus,248,-31.6599,11.1072
Dry,Notopterus notopterus,267,-30.8696,11.1204
Dry,Notopterus notopterus,,-29.0921,10.3854
Wet,Notopterus notopterus,148,-28.0568,8.4944
Wet,Notopterus notopterus,166,-29.0644,9.659
Wet,Notopterus notopterus,170,-32.6481,9.9289
Wet,Notopterus notopterus,170,-27.9832,8.9386
Wet,Notopterus notopterus,180,-37.322,5.5493
Wet,Notopterus notopterus,185,-39.9191,4.7959
Wet,Notopterus notopterus,185,-36.8896,7.1392
Wet,Notopterus notopterus,263,-30.9207,10.9464
Wet,Notopterus notopterus,265,-31.0065,10.8374
Wet,Notopterus notopterus,269,-28.8392,9.9296
Wet,Notopterus notopterus,272,-29.2925,10.0331
Wet,Notopterus notopterus,296,-31.6978,10.4411
Wet,Notopterus notopterus,,-26.1402,9.7074
Dry,Pangasius larnaudii,205,-28.032,11.4008
Dry,Pangasius larnaudii,335,-28.6891,12.0577
Dry,Pangasius larnaudii,341,-34.94,9.8452
Dry,Pangasius larnaudii,410,-29.2725,11.725
Dry,Pangasius larnaudii,416,-32.151,9.4062
Dry,Pangasius larnaudii,485,-31.3893,9.7825
Dry,Pangasius larnaudii,,-31.3093,11.1529
Dry,Pangasius larnaudii,,-30.7735,11.3964
Dry,Pangasius larnaudii,,-29.7192,10.8872
Dry,Pangasius larnaudii,,-29.5085,11.6773
Wet,Pangasius larnaudii,192,-25.8522,9.4613
Wet,Pangasius larnaudii,199,-30.8714,10.274
Wet,Pangasius larnaudii,200,-31.6286,10.7361
Wet,Pangasius larnaudii,201,-28.1924,11.0202
Wet,Pangasius larnaudii,220,-28.4329,10.0108
Wet,Pangasius larnaudii,224,-28.886,9.4026
Wet,Pangasius larnaudii,226,-32.5286,10.6328
Wet,Pangasius larnaudii,233,-29.8646,10.8616
Wet,Pangasius larnaudii,257,-32.6583,11.6926
Wet,Pangasius larnaudii,285,-31.0927,10.1404
Wet,Pangasius larnaudii,285,-30.9197,12.1036
Wet,Pangasius larnaudii,309,-33.1471,11.8594
Wet,Pangasius larnaudii,320,-28.3852,12.8964
Wet,Pangasius larnaudii,330,-28.6944,10.5373
Wet,Pangasius larnaudii,350,-30.0412,11.5344
Wet,Pangasius larnaudii,355,-28.4347,12.7628
Wet,Pangasius larnaudii,360,-28.2281,9.7221
Wet,Pangasius larnaudii,405,-31.2801,11.3848
Wet,Pangasius larnaudii,420,-22.3038,11.4798
Wet,Pangasius larnaudii,462,-23.359,10.2379
Wet,Pangasius larnaudii,,-32.616,9.2496
